areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2023-05-30,6_to_17,179.5,14656
E92000001,England,nation,2023-05-30,0_to_5,575.0,22590
E92000001,England,nation,2023-05-30,65_to_84,4627.1,419103
E92000001,England,nation,2023-05-30,85+,15943.9,224237
E92000001,England,nation,2023-05-29,18_to_64,1041.9,354163
E92000001,England,nation,2023-05-29,6_to_17,179.4,14650
E92000001,England,nation,2023-05-29,0_to_5,574.8,22582
E92000001,England,nation,2023-05-29,65_to_84,4625.4,418955
E92000001,England,nation,2023-05-29,85+,15937.5,224146
E92000001,England,nation,2023-05-28,18_to_64,1041.7,354103
E92000001,England,nation,2023-05-28,6_to_17,179.4,14646
E92000001,England,nation,2023-05-28,0_to_5,574.7,22577
E92000001,England,nation,2023-05-28,65_to_84,4623.8,418805
E92000001,England,nation,2023-05-28,85+,15931.8,224066
E92000001,England,nation,2023-05-27,18_to_64,1041.5,354050
E92000001,England,nation,2023-05-27,6_to_17,179.4,14645
E92000001,England,nation,2023-05-27,0_to_5,574.5,22570
E92000001,England,nation,2023-05-27,65_to_84,4622.3,418666
E92000001,England,nation,2023-05-27,85+,15927.7,224009
E92000001,England,nation,2023-05-26,18_to_64,1041.4,353999
E92000001,England,nation,2023-05-26,6_to_17,179.3,14642
E92000001,England,nation,2023-05-26,0_to_5,574.3,22563
E92000001,England,nation,2023-05-26,65_to_84,4621.1,418559
E92000001,England,nation,2023-05-26,85+,15924.1,223958
E92000001,England,nation,2023-05-25,18_to_64,1041.2,353942
E92000001,England,nation,2023-05-25,6_to_17,179.3,14640
E92000001,England,nation,2023-05-25,0_to_5,574.0,22551
E92000001,England,nation,2023-05-25,65_to_84,4619.7,418438
E92000001,England,nation,2023-05-25,85+,15920.3,223904
E92000001,England,nation,2023-05-24,18_to_64,1041.0,353877
E92000001,England,nation,2023-05-24,6_to_17,179.2,14635
E92000001,England,nation,2023-05-24,0_to_5,573.8,22542
E92000001,England,nation,2023-05-24,65_to_84,4617.9,418270
E92000001,England,nation,2023-05-24,85+,15914.9,223829
E92000001,England,nation,2023-05-23,18_to_64,1040.8,353809
E92000001,England,nation,2023-05-23,6_to_17,179.2,14632
E92000001,England,nation,2023-05-23,0_to_5,573.5,22532
E92000001,England,nation,2023-05-23,65_to_84,4616.0,418103
E92000001,England,nation,2023-05-23,85+,15908.4,223737
E92000001,England,nation,2023-05-22,18_to_64,1040.6,353719
E92000001,England,nation,2023-05-22,6_to_17,179.2,14630
E92000001,England,nation,2023-05-22,0_to_5,573.3,22521
E92000001,England,nation,2023-05-22,65_to_84,4614.1,417929
E92000001,England,nation,2023-05-22,85+,15901.0,223633
E92000001,England,nation,2023-05-21,18_to_64,1040.3,353642
E92000001,England,nation,2023-05-21,6_to_17,179.2,14628
E92000001,England,nation,2023-05-21,0_to_5,573.0,22510
E92000001,England,nation,2023-05-21,65_to_84,4612.3,417767
E92000001,England,nation,2023-05-21,85+,15893.0,223521
E92000001,England,nation,2023-05-20,18_to_64,1040.1,353570
E92000001,England,nation,2023-05-20,6_to_17,179.1,14623
E92000001,England,nation,2023-05-20,0_to_5,572.7,22499
E92000001,England,nation,2023-05-20,65_to_84,4610.7,417617
E92000001,England,nation,2023-05-20,85+,15886.6,223431
E92000001,England,nation,2023-05-19,18_to_64,1040.0,353512
E92000001,England,nation,2023-05-19,6_to_17,179.1,14621
E92000001,England,nation,2023-05-19,0_to_5,572.4,22489
E92000001,England,nation,2023-05-19,65_to_84,4609.4,417502
E92000001,England,nation,2023-05-19,85+,15882.2,223369
E92000001,England,nation,2023-05-18,18_to_64,1039.8,353447
E92000001,England,nation,2023-05-18,6_to_17,179.0,14616
E92000001,England,nation,2023-05-18,0_to_5,572.2,22479
E92000001,England,nation,2023-05-18,65_to_84,4608.1,417385
E92000001,England,nation,2023-05-18,85+,15878.3,223314
E92000001,England,nation,2023-05-17,18_to_64,1039.5,353341
E92000001,England,nation,2023-05-17,6_to_17,179.0,14612
E92000001,England,nation,2023-05-17,0_to_5,571.9,22469
E92000001,England,nation,2023-05-17,65_to_84,4606.6,417244
E92000001,England,nation,2023-05-17,85+,15872.5,223232
E92000001,England,nation,2023-05-16,18_to_64,1039.2,353260
E92000001,England,nation,2023-05-16,6_to_17,178.9,14610
E92000001,England,nation,2023-05-16,0_to_5,571.8,22464
E92000001,England,nation,2023-05-16,65_to_84,4604.9,417090
E92000001,England,nation,2023-05-16,85+,15864.8,223124
E92000001,England,nation,2023-05-15,18_to_64,1039.0,353176
E92000001,England,nation,2023-05-15,6_to_17,178.9,14610
E92000001,England,nation,2023-05-15,0_to_5,571.5,22452
E92000001,England,nation,2023-05-15,65_to_84,4602.8,416900
E92000001,England,nation,2023-05-15,85+,15857.9,223027
E92000001,England,nation,2023-05-14,18_to_64,1038.7,353096
E92000001,England,nation,2023-05-14,6_to_17,178.9,14605
E92000001,England,nation,2023-05-14,0_to_5,571.3,22444
E92000001,England,nation,2023-05-14,65_to_84,4600.8,416726
E92000001,England,nation,2023-05-14,85+,15850.3,222920
E92000001,England,nation,2023-05-13,18_to_64,1038.5,353031
E92000001,England,nation,2023-05-13,6_to_17,178.9,14603
E92000001,England,nation,2023-05-13,0_to_5,571.1,22435
E92000001,England,nation,2023-05-13,65_to_84,4599.1,416565
E92000001,England,nation,2023-05-13,85+,15842.6,222812
E92000001,England,nation,2023-05-12,18_to_64,1038.4,352975
E92000001,England,nation,2023-05-12,6_to_17,178.8,14601
E92000001,England,nation,2023-05-12,0_to_5,571.0,22432
E92000001,England,nation,2023-05-12,65_to_84,4597.6,416434
E92000001,England,nation,2023-05-12,85+,15837.0,222733
E92000001,England,nation,2023-05-11,18_to_64,1038.2,352898
E92000001,England,nation,2023-05-11,6_to_17,178.8,14598
